Project Name,Transacted Price ($),Area (SQFT),Street Name,Type of Sale,Type of Area,Property Type,Number of Units,Postal District,Market Segment,Data_Source,Year,Month,start_floor,end_floor,is_freehold,lease_duration_years,lease_commencement_year,remaining_lease_years,lease_age_at_sale,lease_maturity_ratio,lease_category_encoded,is_peak_season,is_november,quarter,month_sin,month_cos
GRANDEUR 8,1650000.0,1227.1,ANG MO KIO CENTRAL 3,Resale,Strata,Condominium,1.0,20.0,Outside Central Region,train,22,6,11,15,0,99,2002,79,20,0.20202020202020202,2,0,0,2,1.2246467991473532e-16,-1.0
BLOSSOMS BY THE PARK,2248000.0,914.94,SLIM BARRACKS RISE,New Sale,Strata,Apartment,1.0,5.0,Rest of Central Region,train,23,4,11,15,0,99,2022,98,1,0.010101010101010102,1,0,0,2,0.8660254037844387,-0.49999999999999983
REGENT GROVE,712000.0,925.7,CHOA CHU KANG NORTH 7,Resale,Strata,Condominium,1.0,23.0,Outside Central Region,train,20,12,6,10,0,99,1997,76,23,0.23232323232323232,2,0,0,4,-2.4492935982947064e-16,1.0
LA FIESTA,960000.0,753.48,SENGKANG SQUARE,Resale,Strata,Condominium,1.0,19.0,Outside Central Region,train,21,8,6,10,0,99,2012,90,9,0.09090909090909091,1,0,0,3,-0.8660254037844384,-0.5000000000000004
KLIMT CAIRNHILL,4860000.0,1431.61,CAIRNHILL ROAD,New Sale,Strata,Apartment,1.0,9.0,Core Central Region,train,23,9,11,15,1,9999,0,9999,0,0.0,0,0,0,3,-1.0,-1.8369701987210297e-16
SIGLAP V,800000.0,516.67,FIRST STREET,Resale,Strata,Apartment,1.0,15.0,Outside Central Region,train,24,8,1,5,1,9999,0,9999,0,0.0,0,0,0,3,-0.8660254037844384,-0.5000000000000004
TREASURE AT TAMPINES,1543000.0,1237.86,TAMPINES LANE,New Sale,Strata,Condominium,1.0,18.0,Outside Central Region,train,20,8,1,5,0,99,2018,97,2,0.020202020202020204,1,0,0,3,-0.8660254037844384,-0.5000000000000004
WALLICH RESIDENCE,5300000.0,1711.48,WALLICH STREET,Resale,Strata,Apartment,1.0,2.0,Core Central Region,train,22,8,41,45,0,99,2011,88,11,0.1111111111111111,1,0,0,3,-0.8660254037844384,-0.5000000000000004
JADESCAPE,2520000.0,1151.75,SHUNFU ROAD,Sub Sale,Strata,Condominium,1.0,20.0,Rest of Central Region,train,22,12,16,20,0,99,2018,95,4,0.04040404040404041,1,0,0,4,-2.4492935982947064e-16,1.0
GUILLEMARD SUITES,665000.0,409.03,GUILLEMARD ROAD,Resale,Strata,Apartment,1.0,14.0,Rest of Central Region,train,23,6,1,5,1,9999,0,9999,0,0.0,0,0,0,2,1.2246467991473532e-16,-1.0
ALEX RESIDENCES,2448888.0,1044.11,ALEXANDRA VIEW,Resale,Strata,Apartment,1.0,3.0,Rest of Central Region,train,24,11,36,40,0,99,2013,88,11,0.1111111111111111,1,1,1,4,-0.5000000000000004,0.8660254037844384
DOUBLE BAY RESIDENCES,1630000.0,1270.15,SIMEI STREET 4,Resale,Strata,Condominium,1.0,18.0,Outside Central Region,train,22,8,11,15,0,99,2008,85,14,0.1414141414141414,1,0,0,3,-0.8660254037844384,-0.5000000000000004
THE AVENIR,6445000.0,2055.92,RIVER VALLEY CLOSE,New Sale,Strata,Condominium,1.0,9.0,Core Central Region,train,22,5,11,15,1,9999,0,9999,0,0.0,0,0,0,2,0.49999999999999994,-0.8660254037844387
BARTLEY RIDGE,2108888.0,1173.28,MOUNT VERNON ROAD,Resale,Strata,Condominium,1.0,13.0,Rest of Central Region,train,23,9,6,10,0,99,2012,88,11,0.1111111111111111,1,0,0,3,-1.0,-1.8369701987210297e-16
VAN HOLLAND,2933677.0,1001.05,HOLLAND ROAD,New Sale,Strata,Condominium,1.0,10.0,Core Central Region,train,22,3,1,5,1,9999,0,9999,0,0.0,0,0,0,1,1.0,6.123233995736766e-17
WATTEN HOUSE,7678000.0,2368.08,SHELFORD ROAD,New Sale,Strata,Condominium,1.0,11.0,Core Central Region,train,24,5,1,5,1,9999,0,9999,0,0.0,0,0,0,2,0.49999999999999994,-0.8660254037844387
THE BAYSHORE,1180000.0,1237.86,BAYSHORE ROAD,Resale,Strata,Condominium,1.0,16.0,Outside Central Region,train,20,8,26,30,0,99,1993,72,27,0.2727272727272727,2,0,0,3,-0.8660254037844384,-0.5000000000000004
PARC VISTA,955000.0,1119.46,CORPORATION ROAD,Resale,Strata,Condominium,1.0,22.0,Outside Central Region,train,21,4,16,20,0,99,1995,73,26,0.26262626262626265,2,0,0,2,0.8660254037844387,-0.49999999999999983
ONE LEICESTER,1230000.0,914.94,LEICESTER ROAD,Resale,Strata,Condominium,1.0,13.0,Rest of Central Region,train,20,10,11,15,1,9999,0,9999,0,0.0,0,1,0,4,-0.8660254037844386,0.5000000000000001
HILLTOP GROVE,972000.0,1011.82,HILLVIEW AVENUE,Resale,Strata,Condominium,1.0,23.0,Outside Central Region,train,22,8,1,5,0,99,1996,73,26,0.26262626262626265,2,0,0,3,-0.8660254037844384,-0.5000000000000004
HALLMARK RESIDENCES,3020000.0,1485.43,EWE BOON ROAD,Resale,Strata,Condominium,1.0,10.0,Core Central Region,train,21,6,6,10,1,9999,0,9999,0,0.0,0,0,0,2,1.2246467991473532e-16,-1.0
