Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
SEASIDE RESIDENCES,785.77,Oct-24,SIGLAP LINK,Resale,Strata,73.0,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,01 to 05,1740000
PARC BOTANNIA,775.01,Aug-24,FERNVALE STREET,Resale,Strata,72.0,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,01 to 05,1168000
EIGHT RIVERSUITES,699.66,Apr-22,WHAMPOA EAST,Resale,Strata,65,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,01 to 05,1050000
RIVERSAILS,"1,184.04",Mar-21,UPPER SERANGOON CRESCENT,Resale,Strata,110,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05,1223000
CASTLE GREEN,947.23,Dec-20,YIO CHU KANG ROAD,Resale,Strata,88,Condominium,1,99 yrs lease commencing from 1993,26,Outside Central Region,06 to 10,825000
GALAXY TOWERS,"1,065.64",Dec-21,ONAN ROAD,Resale,Strata,99,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,1380000
ECO SANCTUARY,"1,603.84",Jan-21,CHESTNUT AVENUE,Resale,Strata,149,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,21 to 25,1760000
GRAND DUNMAN,548.96,Dec-24,DUNMAN ROAD,New Sale,Strata,51.0,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10,1472000
THE PALETTE,882.65,Sep-21,PASIR RIS GROVE,Resale,Strata,82,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05,950000
NORMANTON PARK,527.44,Jan-21,NORMANTON PARK,New Sale,Strata,49,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,11 to 15,917723
EMERY POINT,"1,302.44",Jun-22,IPOH LANE,Resale,Strata,121,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,2090000
LENTOR MODERN,990.29,Sep-22,LENTOR CENTRAL,New Sale,Strata,92,Apartment,1,99 yrs lease commencing from 2021,26,Outside Central Region,06 to 10,1985940
MAPLE WOODS,850.36,Sep-22,BUKIT TIMAH ROAD,Resale,Strata,79,Condominium,1,Freehold,21,Rest of Central Region,01 to 05,1728000
THE ESTA,"1,399.32",Jan-24,AMBER GARDENS,Resale,Strata,130,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,3150000
SKYLINE RESIDENCES,"1,291.68",Apr-23,TELOK BLANGAH ROAD,Resale,Strata,120,Condominium,1,Freehold,4,Rest of Central Region,11 to 15,2700000
THE WATERLINE,882.65,Mar-23,POH HUAT ROAD WEST,Resale,Strata,82,Condominium,1,Freehold,19,Outside Central Region,01 to 05,1100000
THE FORESTA @ MOUNT FABER,538.2,Jan-23,WISHART ROAD,Resale,Strata,50,Condominium,1,Freehold,4,Rest of Central Region,01 to 05,990000
10 EVELYN,807.3,Jan-24,EVELYN ROAD,New Sale,Strata,75,Apartment,1,Freehold,11,Core Central Region,01 to 05,2288000
CHUAN PARK,731.95,Nov-24,LORONG CHUAN,New Sale,Strata,68.0,Condominium,1,99 yrs lease commencing from 2024,19,Outside Central Region,01 to 05,1921615
BARTLEY VUE,731.95,Mar-22,JALAN BUNGA RAMPAI,New Sale,Strata,68,Apartment,1,99 yrs lease commencing from 2020,19,Rest of Central Region,01 to 05,1415000
IRWELL HILL RESIDENCES,602.78,Apr-21,IRWELL HILL,New Sale,Strata,56,Apartment,1,99 yrs lease commencing from 2020,9,Core Central Region,16 to 20,1610000
MIDTOWN MODERN,"1,065.64",Mar-21,TAN QUEE LAN STREET,New Sale,Strata,99,Apartment,1,99 yrs lease commencing from 2019,7,Core Central Region,01 to 05,2583900
DUCHESS RESIDENCES,"2,755.58",Sep-21,DUCHESS AVENUE,Resale,Strata,256,Condominium,1,999 yrs lease commencing from 1875,10,Core Central Region,01 to 05,4460000
CLAVON,"1,689.95",Mar-22,CLEMENTI AVENUE 1,New Sale,Strata,157,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,31 to 35,2914000
PARC KOMO,"1,001.05",Jul-21,UPPER CHANGI ROAD NORTH,New Sale,Strata,93,Apartment,1,Freehold,17,Outside Central Region,01 to 05,1519650
ONEROBEY,"1,302.44",Jul-24,ROBEY CRESCENT,Resale,Strata,121,Apartment,1,999 yrs lease commencing from 1875,19,Outside Central Region,01 to 05,1580000
THE VENUE RESIDENCES,968.76,Feb-22,TAI THONG CRESCENT,Resale,Strata,90,Apartment,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05,1500000
