Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
THE ARDEN,656.6,Aug-23,PHOENIX ROAD,New Sale,Strata,61.0,Apartment,1,99 yrs lease commencing from 2023,23,Outside Central Region,01 to 05,1124000
MEYER BLUE,667.37,Oct-24,MEYER ROAD,New Sale,Strata,62.0,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,2095000
THE LANDMARK,764.24,Jul-24,CHIN SWEE ROAD,New Sale,Strata,71,Condominium,1,99 yrs lease commencing from 2020,3,Rest of Central Region,36 to 40,2064000
ISUITES @ TANI,624.31,Aug-22,JALAN TANI,Resale,Strata,58,Apartment,1,999 yrs lease commencing from 1883,19,Outside Central Region,01 to 05,800000
RIVIERE,"1,140.98",Aug-22,JIAK KIM STREET,New Sale,Strata,106,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,26 to 30,3280000
THE LUXURIE,"1,722.24",May-21,COMPASSVALE ROAD,Resale,Strata,160,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05,1490000
PARVIS,"2,012.87",Dec-20,HOLLAND HILL,Resale,Strata,187,Condominium,1,Freehold,10,Core Central Region,06 to 10,4200000
THE VINES,"1,065.64",Jun-24,LORONG SARINA,Resale,Strata,99,Apartment,1,Freehold,14,Outside Central Region,01 to 05,1520000
THE MAYFAIR,"1,162.51",Sep-21,JURONG EAST STREET 32,Resale,Strata,108,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,06 to 10,1088000
FERRARIA PARK CONDOMINIUM,"1,377.79",May-24,FLORA DRIVE,Resale,Strata,128,Condominium,1,Freehold,17,Outside Central Region,01 to 05,1580000
MARINA BAY SUITES,"2,680.24",Jan-21,CENTRAL BOULEVARD,Resale,Strata,249,Condominium,1,99 yrs lease commencing from 2007,1,Core Central Region,11 to 15,4800000
CASPIAN,936.47,Aug-21,LAKESIDE DRIVE,Resale,Strata,87,Condominium,1,99 yrs lease commencing from 2008,22,Outside Central Region,06 to 10,1228000
THE REEF AT KING'S DOCK,538.2,Feb-21,HARBOURFRONT AVENUE,New Sale,Strata,50,Condominium,1,99 yrs lease commencing from 2021,4,Rest of Central Region,01 to 05,1216859
WATTEN HILL,"2,669.47",Aug-22,WATTEN VIEW,Resale,Strata,248,Condominium,1,Freehold,11,Core Central Region,-,4900000
HILLOCK GREEN,516.67,Sep-24,LENTOR CENTRAL,New Sale,Strata,48.0,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20,1292000
CANBERRA RESIDENCES,"1,528.49",Jan-21,CANBERRA DRIVE,Resale,Strata,142,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05,1292500
CANBERRA RESIDENCES,936.47,Sep-22,CANBERRA DRIVE,Resale,Strata,87,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05,1000000
FORETT@BUKIT TIMAH,"1,302.44",Mar-22,TOH TUCK ROAD,New Sale,Strata,121,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,2725000
VIEW AT KISMIS,893.41,Nov-24,LORONG KISMIS,Sub Sale,Strata,83.0,Apartment,1,99 yrs lease commencing from 2019,21,Rest of Central Region,01 to 05,1950000
EDELWEISS PARK CONDOMINIUM,"1,054.87",Oct-21,FLORA ROAD,Resale,Strata,98,Condominium,1,Freehold,17,Outside Central Region,06 to 10,935000
AFFINITY AT SERANGOON,538.2,Dec-24,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,50.0,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15,928000
SILVERSEA,"1,485.43",Sep-21,MARINE PARADE ROAD,Resale,Strata,138,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,01 to 05,2400000
PINNACLE 16,592.02,Nov-21,SHAN ROAD,Resale,Strata,55,Apartment,1,Freehold,12,Rest of Central Region,01 to 05,900000
NAVA GROVE,785.77,Nov-24,PINE GROVE,New Sale,Strata,73.0,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,11 to 15,2035800
GARDENVISTA,"1,248.62",Aug-24,DUNEARN ROAD,Resale,Strata,116.0,Condominium,1,99 yrs lease commencing from 1999,21,Rest of Central Region,01 to 05,2080000
NORMANTON PARK,667.37,Jan-21,NORMANTON PARK,New Sale,Strata,62,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,11 to 15,1174727
VISTA RESIDENCES,"1,420.85",Jan-21,JALAN DATOH,Resale,Strata,132,Condominium,1,Freehold,12,Rest of Central Region,31 to 35,2260000
RIVERTREES RESIDENCES,"1,593.07",Aug-24,FERNVALE CLOSE,Resale,Strata,148.0,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,21 to 25,2428888
PARC ELEGANCE,441.32,Jan-21,TELOK KURAU ROAD,Resale,Strata,41,Apartment,1,Freehold,15,Outside Central Region,01 to 05,627000
GRAND DUNMAN,667.37,Jul-23,DUNMAN ROAD,New Sale,Strata,62.0,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,1564000
THE LAKESHORE,"1,184.04",Apr-22,JURONG WEST STREET 41,Resale,Strata,110,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,06 to 10,1370000
SOLEIL @ SINARAN,"1,431.61",Dec-24,SINARAN DRIVE,Resale,Strata,133.0,Condominium,1,99 yrs lease commencing from 2006,11,Core Central Region,11 to 15,2530000
ROCHELLE AT NEWTON,"1,743.77",Oct-24,KENG LEE ROAD,Resale,Strata,162.0,Condominium,1,99 yrs lease commencing from 2008,11,Core Central Region,21 to 25,3450000
THE GARDEN RESIDENCES,785.77,Nov-20,SERANGOON NORTH VIEW,New Sale,Strata,73,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10,1299900
THE SAIL @ MARINA BAY,624.31,Jun-23,MARINA BOULEVARD,Resale,Strata,58.0,Apartment,1,99 yrs lease commencing from 2002,1,Core Central Region,01 to 05,1160000
THE SEAFRONT ON MEYER,"1,603.84",Dec-24,MEYER ROAD,Resale,Strata,149.0,Condominium,1,Freehold,15,Rest of Central Region,16 to 20,3830000
RIVERFRONT RESIDENCES,914.94,Jan-21,HOUGANG AVENUE 7,New Sale,Strata,85,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05,1199000
LA BRISA,516.67,Apr-21,LORONG 28 GEYLANG,Resale,Strata,48,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,648000
NOTTINGHILL SUITES,398.27,Oct-23,TOH TUCK ROAD,Resale,Strata,37.0,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,710000
IRWELL HILL RESIDENCES,861.12,Apr-21,IRWELL HILL,New Sale,Strata,80,Apartment,1,99 yrs lease commencing from 2020,9,Core Central Region,01 to 05,2144000
URBAN VISTA,548.96,Sep-24,TANAH MERAH KECHIL LINK,Resale,Strata,51.0,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,01 to 05,854000
LOFT @ STEVENS,656.6,Dec-23,STEVENS ROAD,Resale,Strata,61.0,Apartment,1,Freehold,10,Core Central Region,01 to 05,1365000
THE SEAFRONT ON MEYER,"1,603.84",Apr-21,MEYER ROAD,Resale,Strata,149,Condominium,1,Freehold,15,Rest of Central Region,21 to 25,3200000
FLO RESIDENCE,"1,011.82",Jun-22,PUNGGOL FIELD WALK,Resale,Strata,94,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,1160000
BOTANIQUE AT BARTLEY,"1,033.34",May-24,UPPER PAYA LEBAR ROAD,Resale,Strata,96,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05,1980000
PARC CLEMATIS,"1,044.11",Oct-20,JALAN LEMPENG,New Sale,Strata,97,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,16 to 20,1732500
MOUNT SOPHIA SUITES,559.73,Jul-21,SOPHIA ROAD,Resale,Strata,52,Apartment,1,Freehold,9,Core Central Region,01 to 05,903000
THE FLORENCE RESIDENCES,484.38,Nov-20,HOUGANG AVENUE 2,New Sale,Strata,45,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15,810000
COASTLINE RESIDENCES,"1,108.69",Nov-21,AMBER ROAD,New Sale,Strata,103,Apartment,1,Freehold,15,Rest of Central Region,16 to 20,2887000
MIDWOOD,904.18,May-21,HILLVIEW RISE,New Sale,Strata,84,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,06 to 10,1417000
SERAYA VILLE,"1,431.61",Oct-20,SERAYA LANE,Resale,Strata,133,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1428000
WATERFRONT @ FABER,"1,291.68",Jul-23,FABER WALK,Resale,Strata,120.0,Apartment,1,99 yrs lease commencing from 2013,5,Outside Central Region,01 to 05,1990000
AMBER PARK,"1,302.44",Mar-22,AMBER GARDENS,New Sale,Strata,121,Condominium,1,Freehold,15,Rest of Central Region,06 to 10,3299000
MODENA,"1,560.78",May-21,SIMEI STREET 4,Resale,Strata,145,Condominium,1,99 yrs lease commencing from 1997,18,Outside Central Region,06 to 10,1510000
EDELWEISS PARK CONDOMINIUM,"1,054.87",Aug-21,FLORA ROAD,Resale,Strata,98,Condominium,1,Freehold,17,Outside Central Region,06 to 10,975000
THE CENTRIS,"1,270.15",May-21,JURONG WEST CENTRAL 3,Resale,Strata,118,Apartment,1,99 yrs lease commencing from 2006,22,Outside Central Region,01 to 05,1310000
WOODHAVEN,592.02,Sep-21,WOODGROVE AVENUE,Resale,Strata,55,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,660000
THE LAKESHORE,871.88,Nov-20,JURONG WEST STREET 41,Resale,Strata,81,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,01 to 05,930000
THE ANTARES,"1,367.03",Sep-21,MATTAR ROAD,New Sale,Strata,127,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10,2333000
SOUTHAVEN II,958,Aug-23,HINDHEDE WALK,Resale,Strata,89.0,Condominium,1,999 yrs lease commencing from 1877,21,Outside Central Region,01 to 05,1449988
THE HYDE,548.96,Aug-22,BALMORAL ROAD,New Sale,Strata,51,Condominium,1,Freehold,10,Core Central Region,01 to 05,1505000
SIMS URBAN OASIS,624.31,May-23,SIMS DRIVE,Resale,Strata,58,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,16 to 20,1140000
HYLL ON HOLLAND,699.66,Jun-23,HOLLAND ROAD,New Sale,Strata,65.0,Condominium,1,Freehold,10,Core Central Region,06 to 10,2018500
BARTLEY RESIDENCES,"1,065.64",Mar-21,LORONG HOW SUN,Resale,Strata,99,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05,1330000
NEPTUNE COURT,"1,270.15",Dec-22,MARINE VISTA,Resale,Strata,118,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,01 to 05,1320000
EMERALD OF KATONG,645.84,Nov-24,JALAN TEMBUSU,New Sale,Strata,60.0,Condominium,1,99 yrs lease commencing from 2023,15,Rest of Central Region,01 to 05,1675000
TEMBUSU GRAND,"1,431.61",Jul-23,JALAN TEMBUSU,New Sale,Strata,133.0,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10,3407000
EMERALD OF KATONG,624.31,Nov-24,JALAN TEMBUSU,New Sale,Strata,58.0,Condominium,1,99 yrs lease commencing from 2023,15,Rest of Central Region,11 to 15,1787000
HIGH OAK CONDOMINIUM,"1,733",Mar-21,TOH TUCK ROAD,Resale,Strata,161,Condominium,1,99 yrs lease commencing from 1996,21,Rest of Central Region,01 to 05,1710000
SKY EDEN@BEDOK,688.9,Sep-22,BEDOK CENTRAL,New Sale,Strata,64,Apartment,1,99 yrs lease commencing from 2022,16,Outside Central Region,11 to 15,1517000
AMBER PARK,753.48,Mar-21,AMBER GARDENS,New Sale,Strata,70,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,1768000
MIDWOOD,699.66,Jun-21,HILLVIEW RISE,New Sale,Strata,65,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,06 to 10,1132000
MEYER BLUE,"1,140.98",Oct-24,MEYER ROAD,New Sale,Strata,106.0,Apartment,1,Freehold,15,Rest of Central Region,11 to 15,3588000
HILLVIEW REGENCY,968.76,Feb-21,BUKIT BATOK EAST AVENUE 2,Resale,Strata,90,Condominium,1,99 yrs lease commencing from 2000,23,Outside Central Region,06 to 10,815000
THE LILIUM,"1,227.1",Mar-23,HOW SUN ROAD,New Sale,Strata,114,Condominium,1,Freehold,19,Outside Central Region,01 to 05,2238000
SENGKANG GRAND RESIDENCES,"1,011.82",Apr-21,COMPASSVALE BOW,New Sale,Strata,94,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15,1810400
PICCADILLY GRAND,"1,097.93",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,Apartment,1,99 yrs lease commencing from 2021,8,Rest of Central Region,06 to 10,2232000
THE WATERINA,"1,087.16",Apr-21,LORONG 40 GEYLANG,Resale,Strata,101,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,1515000
CASPIAN,936.47,Sep-22,LAKESIDE DRIVE,Resale,Strata,87,Condominium,1,99 yrs lease commencing from 2008,22,Outside Central Region,01 to 05,1180000
PARC CLEMATIS,893.41,Oct-23,JALAN LEMPENG,Sub Sale,Strata,83.0,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,11 to 15,1888000
PARC CLEMATIS,968.76,Aug-21,JALAN LEMPENG,New Sale,Strata,90,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,21 to 25,1661000
IRWELL HILL RESIDENCES,613.55,Nov-21,IRWELL HILL,New Sale,Strata,57,Apartment,1,99 yrs lease commencing from 2020,9,Core Central Region,21 to 25,1669000
PINE GROVE,"1,162.51",Jun-21,PINE GROVE,Resale,Strata,108,Condominium,1,99 yrs lease commencing from 1984,21,Rest of Central Region,16 to 20,1230000
AFFINITY AT SERANGOON,"1,076.4",Jun-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,100,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05,1645380
KASSIA,473.62,Jul-24,FLORA DRIVE,New Sale,Strata,44,Condominium,1,Freehold,17,Outside Central Region,06 to 10,916000
THE AVENIR,"1,140.98",May-22,RIVER VALLEY CLOSE,New Sale,Strata,106,Condominium,1,Freehold,9,Core Central Region,16 to 20,3505000
JADESCAPE,527.44,Aug-20,SHUNFU ROAD,New Sale,Strata,49,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,06 to 10,947000
MIDTOWN MODERN,"1,065.64",Mar-21,TAN QUEE LAN STREET,New Sale,Strata,99,Apartment,1,99 yrs lease commencing from 2019,7,Core Central Region,06 to 10,2661120
THE CLEMENT CANOPY,710.42,May-21,CLEMENTI AVENUE 1,Sub Sale,Strata,66,Apartment,1,99 yrs lease commencing from 2016,5,Outside Central Region,21 to 25,1188000
NORMANTON PARK,936.47,Aug-21,NORMANTON PARK,New Sale,Strata,87,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,01 to 05,1629000
PAVILION 11,"1,485.43",Mar-21,AKYAB ROAD,Resale,Strata,138,Condominium,1,Freehold,11,Core Central Region,16 to 20,2450000
SELETAR PARK RESIDENCE,839.59,Feb-22,SELETAR ROAD,Resale,Strata,78,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05,1038000
KINGSFORD . HILLVIEW PEAK,516.67,Jun-24,HILLVIEW RISE,Resale,Strata,48,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05,760000
ONE AMBER,"1,302.44",Sep-21,AMBER GARDENS,Resale,Strata,121,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,2410000
COCO PALMS,753.48,Apr-24,PASIR RIS GROVE,Resale,Strata,70,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05,1250000
LANDBAY CONDOMINIUM,"1,194.8",Jun-22,JALAN HAJIJAH,Resale,Strata,111,Condominium,1,Freehold,16,Outside Central Region,01 to 05,1960000
BARTLEY VUE,"1,065.64",Jun-24,JALAN BUNGA RAMPAI,New Sale,Strata,99,Apartment,1,99 yrs lease commencing from 2020,19,Rest of Central Region,11 to 15,2270000
LENTOR MODERN,968.76,Nov-23,LENTOR CENTRAL,New Sale,Strata,90.0,Apartment,1,99 yrs lease commencing from 2021,26,Outside Central Region,21 to 25,2194000
TREASURE AT TAMPINES,914.94,Jun-21,TAMPINES LANE,New Sale,Strata,85,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10,1291000
CASA FLORA,"1,840.64",Aug-21,SALAM WALK,Resale,Strata,171,Condominium,1,Freehold,16,Outside Central Region,01 to 05,1900000
ONE PEARL BANK,"1,431.61",Jan-21,PEARL BANK,New Sale,Strata,133,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,36 to 40,3634000
FORETT@BUKIT TIMAH,721.19,Aug-20,TOH TUCK ROAD,New Sale,Strata,67,Apartment,1,Freehold,21,Rest of Central Region,06 to 10,1456000
TRIBECA,"1,905.23",May-22,KIM SENG ROAD,Resale,Strata,177,Condominium,1,Freehold,9,Core Central Region,06 to 10,3900000
SENNETT RESIDENCE,893.41,May-22,PHENG GECK AVENUE,Resale,Strata,83,Condominium,1,99 yrs lease commencing from 2011,13,Rest of Central Region,01 to 05,1392888
CITYLIGHTS,"1,442.38",Nov-20,JELLICOE ROAD,Resale,Strata,134,Condominium,1,99 yrs lease commencing from 2004,8,Rest of Central Region,26 to 30,2040000
THE LANAI,"1,044.11",Jul-23,HILLVIEW AVENUE,Resale,Strata,97.0,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,06 to 10,1665000
FOURTH AVENUE RESIDENCES,947.23,Apr-22,FOURTH AVENUE,New Sale,Strata,88,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05,2308000
VALLEY PARK,"1,216.33",Jun-21,RIVER VALLEY ROAD,Resale,Strata,113,Condominium,1,999 yrs lease commencing from 1877,10,Core Central Region,06 to 10,2200000
DE CENTURION,775.01,Jan-21,TANJONG RHU ROAD,Resale,Strata,72,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1130000
DAIRY FARM RESIDENCES,710.42,Nov-21,DAIRY FARM LANE,New Sale,Strata,66,Apartment,1,99 yrs lease commencing from 2018,23,Outside Central Region,01 to 05,1214500
EMERALD OF KATONG,"1,151.75",Nov-24,JALAN TEMBUSU,New Sale,Strata,107.0,Condominium,1,99 yrs lease commencing from 2023,15,Rest of Central Region,11 to 15,3015000
THE MINTON,990.29,Dec-24,HOUGANG STREET 11,Resale,Strata,92.0,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10,1485000
LIV @ MB,"1,119.46",Apr-23,ARTHUR ROAD,New Sale,Strata,104,Condominium,1,99 yrs lease commencing from 2021,15,Rest of Central Region,16 to 20,3030000
TREASURE AT TAMPINES,462.85,May-23,TAMPINES LANE,Sub Sale,Strata,43,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10,745000
REGENT GROVE,"1,162.51",Mar-23,CHOA CHU KANG NORTH 7,Resale,Strata,108,Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,01 to 05,1075000
THE BLOSSOMVALE,839.59,Apr-23,DUNEARN ROAD,Resale,Strata,78,Condominium,1,999 yrs lease commencing from 1884,21,Rest of Central Region,01 to 05,1675000
EAST MEWS,"2,142.04",Jun-21,MOUNTBATTEN ROAD,Resale,Strata,199,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,2490000
CAPE ROYALE,"2,508.01",Apr-23,COVE WAY,Resale,Strata,233,Condominium,1,99 yrs lease commencing from 2008,4,Core Central Region,16 to 20,5717000
WATERFRONT KEY,"1,205.57",Nov-21,BEDOK RESERVOIR ROAD,Resale,Strata,112,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,01 to 05,1450000
STRATUM,775.01,Jan-22,ELIAS ROAD,Resale,Strata,72,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05,888000
FORESQUE RESIDENCES,"1,280.92",Dec-23,PETIR ROAD,Resale,Strata,119.0,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,01 to 05,1755000
38 I SUITES,505.91,Nov-21,IPOH LANE,Resale,Strata,47,Apartment,1,Freehold,15,Rest of Central Region,11 to 15,750000
THE GLADES,462.85,Feb-24,BEDOK RISE,Resale,Strata,43,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,01 to 05,788000
NATURA@HILLVIEW,538.2,Jan-22,HILLVIEW TERRACE,Resale,Strata,50,Apartment,1,Freehold,23,Outside Central Region,01 to 05,715000
RIVERGATE,"2,088.22",Oct-20,ROBERTSON QUAY,Resale,Strata,194,Apartment,1,Freehold,9,Core Central Region,06 to 10,4600000
NOVENA LODGE,947.23,May-22,JALAN MERLIMAU,Resale,Strata,88,Condominium,1,Freehold,11,Core Central Region,01 to 05,1728000
GUILLEMARD EDGE,548.96,Jan-21,LORONG 30 GEYLANG,Resale,Strata,51,Apartment,1,Freehold,14,Rest of Central Region,06 to 10,760000
LEEDON GREEN,613.55,Nov-20,LEEDON HEIGHTS,New Sale,Strata,57,Condominium,1,Freehold,10,Core Central Region,01 to 05,1655400
THE RESERVE RESIDENCES,882.65,Jun-23,JALAN ANAK BUKIT,New Sale,Strata,82.0,Apartment,1,99 yrs lease commencing from 2021,21,Rest of Central Region,26 to 30,2258480
THE MINTON,979.52,Nov-23,HOUGANG STREET 11,Resale,Strata,91.0,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05,1340000
DOUBLE BAY RESIDENCES,"1,550.02",Nov-24,SIMEI STREET 4,Resale,Strata,144.0,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05,2400000
COASTLINE RESIDENCES,"1,130.22",May-21,AMBER ROAD,New Sale,Strata,105,Apartment,1,Freehold,15,Rest of Central Region,11 to 15,2881000
COSTA RHU,"1,399.32",Feb-22,RHU CROSS,Resale,Strata,130,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05,1590000
DAIRY FARM RESIDENCES,645.84,Feb-21,DAIRY FARM LANE,New Sale,Strata,60,Apartment,1,99 yrs lease commencing from 2018,23,Outside Central Region,01 to 05,1012500
RIVERSAILS,"1,108.69",Apr-21,UPPER SERANGOON CRESCENT,Resale,Strata,103,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,1180000
PARC RIVIERA,602.78,Feb-24,WEST COAST VALE,Resale,Strata,56,Condominium,1,99 yrs lease commencing from 2015,5,Outside Central Region,01 to 05,970000
THE HILL @ONE-NORTH,947.23,Apr-24,SLIM BARRACKS RISE,New Sale,Strata,88,Apartment,1,99 yrs lease commencing from 2022,5,Rest of Central Region,06 to 10,2414000
THE METROPOLITAN CONDOMINIUM,"1,743.77",Sep-20,ALEXANDRA VIEW,Resale,Strata,162,Condominium,1,99 yrs lease commencing from 2006,3,Rest of Central Region,26 to 30,2600000
THE CONTINUUM,"1,087.16",Jul-23,THIAM SIEW AVENUE,New Sale,Strata,101.0,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,2995000
DOMUS,904.18,Mar-21,IRRAWADDY ROAD,Resale,Strata,84,Apartment,1,Freehold,12,Rest of Central Region,21 to 25,1480000
STIRLING RESIDENCES,505.91,May-21,STIRLING ROAD,New Sale,Strata,47,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,36 to 40,1124000
AFFINITY AT SERANGOON,775.01,Feb-24,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,72,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05,1320000
SAVANNAH CONDOPARK,"1,733",Jul-21,SIMEI RISE,Resale,Strata,161,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05,1250000
